id,name,agentDefaultGrp,agentType,agentSprite,race,skin,width,height,faction,passiveId,unitclass,Lv,HP,SP,AD,AP,AR,MR,HIT,EVA,Crit,MS,WILL,MainWeapon,WEPvariations,Shield,SHDvariations,Armor,AMRvariations,Helmet,HELvariations,Accessory,ACCvariations,SubWeapon,SubWEPvariations,ReserveSetL,?,ActiveSkill:0,ActiveSkill:1,ActiveSkill:2,ActiveSkill:3,PassiveSkill,Perks1,Perks2,Perks3,Perks4,motionFlags,objFlags,AABits,ExtraSettingEv,ExtraParts,Hpreg,Spreg,AS,MoveTypeBits,AArangeMax,AArangeMin,AAframe,AAcost,AAFunction,reserve,AtkTime,AAarmorEff,AAarmorPen,AAeffect,,AIFlag,spriteOffset_x,spriteOffset_y,,,,,,,,train_speed,food,wood,stone,gold,iconsprite,spawnsound,ex_spawn_cev,Description,Lore,,,*/
merc_mob,Mob,11,1,11,0,0,10,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,WEP_Wooden_Stick,-1,0,-1,AMR_Linen_Tunic,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,5,,,,,,,
merc_militia,Militia,11,3,12,0,442,10,11,0,0,0,2,30,5,0,0,0,0,7,0,0,0,11,WEP_Wooden_Stick|WEP_Club|WEP_Club|WEP_Pitchfork,-1,0,-1,AMR_Leather_Armor,-1,HEL_Leather_Hat,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,16|17|1|2|6,0,0,0,0,,0,,,,,,,,,,,,,,,0,0,,,,,,,,260,16,,,,1,,,A random guy with a mere wooden stick. Very weak.,,,,
merc_spearman,Hired Spearman,12,3,13,0,442,10,11,0,0,0,3,80,8,0,0,0,0,10,1,0,5,15,WEP_Short_Spear,-1,SHD_Round_Shield,-1,AMR_Leather_Armor|AMR_Cloth_Armor|AMR_Padded_Leather|AMR_Mail_Shirt,-1,HEL_Leather_Hat|HEL_Kilted_Cap|HEL_Chain_Coif|HEL_Iron_Helm,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,16|17|1|2|6,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,260,30,20,,,1,,,A human mercenary with a spear. They are cheap and strong against cavalry. ^Surprisingly$; the Dragons often uses humans as soldiers. ^Because human life is unimportant to Dragons$;^they use these poor hominescums as expendable cannon fodders.,,,,
poteton_knight,Poteton Knight,0,3,14,0,0,10,12,FAC_orden,14,0,18,1000,65,35,100,0,50,33,12,0,8,70,WEP_Onikiri,-1,SHD_Ritter_Schild,-1,AMR_Bruder_Surcoat,-1,HEL_Great_Helm,-1,0,-1,0,0,0,0,0,0,0,0,0,1|2|3|5|9|18,1|2|3|5,14,0,16|17|1|2|6,15,4|13,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,4,,,,,,,
nord_berserker,Berserker,0,1,15,0,0,10,12,FAC_nord,3,0,20,720,60,20,0,0,0,39,10,3,50,999,WEP_Bearded_Axe,,,,AMR_Berserk_Harness,,HEL_Bear_Headpiece,,,,,,,,,1208,,,,6|8|9|20|17,1|2|3|4|7|19,,,1|2|3|10|14|15,9|16,1|13,,,25,16,,,,,,,,,,,,,,,0,0,,,,,,,,130,100,,,80,8,,,The one and original berserker. Strong against infantry and automatically regenerates his HP.^ Many players may have been beaten by him in endurance mode.^But if once they are on your side$; they can be very reliable ally. ^Because they are half-naked$; they are vulnerable to ranged weapons.,,,,
nord_marksman,Nord Marksman,13,3,0,0,443,10,11,FAC_nord,0,1,7,160,25,0,0,0,0,25,8,0,18,36,WEP_Hunting_Bow,-1,0,-1,AMR_Chain_Mail|AMR_Mail_Hauberk|AMR_Light_Scale,-1,HEL_Leather_Hat|HEL_Iron_Helm|HEL_Conical_Helm|HEL_Nord_Helm,-1,0,-1,WEP_Handaxe,0,0,0,1205,0,0,0,0,4|6|7|8|14,15,0,0,16|17|1|2|6,0,0,0,0,,,,64,,,,,,,,,,,,,0,0,,,,,,,,171,,30,,40,11,,,A trained archer of the north. ^They are not so great archers$; but their strength is that they are sober and sturdy.,,,,
scorpion,Scorpion,24,1,17,-1,0,30,22,0,0,5,10,700,100,165,0,35,0,68,-5,0,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,17,0,1,4|15|20,0,0,0,,,54,0,215000,80000,3,,1219,,,-10,50,,,,0,0,,,,,,,,115,,125,,100,32,scorpionselect,217,A siege weapon that fires bolts that hit through. ^So-called mobile ballista. This is also an imitation of imperial siege weapon. ^... Originally$; Dragons had taken these mechanical weapons lightly. However$; in a recent skirmish against the Empire$; ^that perception was overturned at the cost of blood when they were hit by a volley of magically enchanted Scorpions.,,,,
goblin_archer,Goblin Archer,13,1,18,1,0,10,11,0,0,1,2,0,8,0,0,0,0,7,5,0,5,10,WEP_Short_Bow,-1,0,-1,AMR_Linen_Tunic,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,15,0,0,1|2|10,0,0,703,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,260,0,25,,10,9,barrier1,316,A goblin levy with a short bow.^...The goblins are more dexterous than most of other races.^That is why only a mere short-term training makes them good at archery.^However$; they lack physical power unlike orks$; and few could draw a powerful bow.,,,,
imperial_levy_orc,Imperial Levy Orc,12,1,19,2,0,12,12,FAC_imperial,0,0,3,150,10,5,0,0,0,12,2,0,8,19,WEP_Handaxe,,,,AMR_Leather_Armor,,0,,0,,,,,,,,,,,,,,,1|2|6|10,,,703,,,,,,,,,,,,,,,,,,0,0,,,,,,,,255,30,5,,,5,,316,"An orc with a simple hatchet.^...Phrases like ""If you survive$; women captives will be yours!"" attract them to join imperial ranks.^But basically most of those levies get wasted as cannon fodders in the battle field.^ Orcs are closely related to the valiant greenskin orks that inhabit the Far East.^and although they are of good physique$; many of them have personalities not suited for fighting.",,,,
bone_golem,Bone Golem,0,1,20,5,0,12,12,0,0,0,3,20,0,0,0,25,0,10,2,0,8,0,WEP_Short_Sword,,,,,,,,,,,,,,,,,,,,,,,1|2,0,0,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,5,,,,,,,
imperial_cataphract,Imperial Cataphract,0,3,21,0,0,13,12,FAC_imperial,5,2,20,750,50,2,0,-20,0,45,15,0,16,57,WEP_Imp_Heavy_Contos,,,,AMR_Scale_Coat,,HEL_Cataphract_Helm,,ACC_Imperial_War_Horse,,WEP_Paramerion|WEP_Cataphract_Mace,,,,1238,,,,1291,2|3|5|9|10,6,6|7|16|19,,16|17|1|2|6,15,1,314,,,,,,,,,,,,,,,,,,0,0,,,,,,,,75,120,,,140,24,,,*A super-heavy cavalry that tramples everything in its path with two-handed Kontos charge.^ There is no way in this game to stop cataphracts' charge with a full complement of numbers.^But$; due to lacking shield$; they will be quickly worn out by repeated$; reckless frontal assaults.^...In the late antiquity$; the cataphracts of the Imperial Comitatenses were organized as decisive units. ^ In reality$; however$; they tended to be used as *fire-fighting units* to deal with the continuing collapse of defensive lines$; rather than for their original purpose of inflicting decisive blows on the enemy. ^Their missions were more flexible and varied than we in the modern age might imagine. ^In other words$; they were like an anachronistic armored combat unit that fought to prolong the imperial order in the age of collapse. ^Historical documents indicate that for every single cataphract$; a simple transmitter and receiver for the new technology of magical communication that appeared at the end of the empire was deployed. It is astonishing that at the end of antiquity$; information links were being established within the troops.,,,,
thrall_skirmisher,Thrall Skirmisher,13,1,22,0,0,10,11,0,0,1,1,2,0,0,0,0,0,0,0,0,10,0,WEP_Hunting_Bow,-1,0,-1,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,250,20,5,,,9,,,An inexpensive archer.^Better than nothing.^...Dragons often forced abducted humans to carry short bows.,,,,
elven_longbow,Elven Longbow,0,1,23,0,440,10,11,0,0,1,10,50,15,0,50,0,25,39,5,0,2,25,WEP_Elven_Long_Bow,-1,0,-1,AMR_Ranger_Harness,-1,HEL_Circlet,-1,0,-1,0,0,0,0,0,0,0,0,0,6|7|8|11|14,4|15|21,0,0,1|2|10,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,95,0,90,,60,12,,,*An elven mercenary archer that has quite long range. ^Has Very high cost$; but as archers they are unrivaled. ^...Once upon a time$; even dragons had admitted elven skill of the archery... ^Well that was a story from a long time ago. ^They are now banned from the Dragons because they were found to be using arrows smeared with excrement. ^Now everyone knows how filthy creatures elves are.,,,,
dra_militia,Militigon,11,1,24,3,0,10,10,FAC_dra,1,0,2,50,0,0,0,0,0,5,0,0,0,5,WEP_Handaxe,,,,AMR_Dragon_Underclothes,,HEL_Leather_Hat,,,,,,,,,1237,,,,,,,,1|2|10|14|15,,,410,,5,,,,,,,,,,,,,,,,0,0,,,,,,,,220,35,,,15,44,vo\dragon_gyaon,,A dragon of the gens Nasun$; who took up a weapon to protect the fields. It has a high attack power for its cost$; but it is relatively fragile.^Just because they are underestimating how battles can be fierce.,,,,
dra_depressgon,Depressgon,0,1,25,3,0,13,14,FAC_dra,19,0,1,1000,,,,100,0,0,0,0,-50,-10,,,,,,,,,,,,,,,,,,,,,,,,1|2|10|14|15,,,0,,,,,,20000,,,,,,,,,,,,0,0,,,,,,,,200,70,,,,64,RTP\monster1,,A dragon who likes taking a walk. He was once gentle and powerful. ^...And suffers from Depression every day because of his gentleness. ^He can be a good cannon fodder$; though his offensive ability is very limited.,,,,
dra_knight,Dragon Knight,15,1,26,3,0,10,12,FAC_dra,7,2,6,450,63,15,0,0,25,24,2,0,66,30,WEP_Dragon_Sword,-1,SHD_drana_metal_shield_prop,-1,AMR_Dragon_Knight_Armor,-1,HEL_Drana_Helm,-1,,,,,,,,1206,,,,2|3|6,5,0,0,1|2|10|14|15,15,2,312,,,,,1,,,,,,,,,,,,,0,0,,,,,,,,158,65,0,0,70,29,Sword1,,A powerful melee soldier$; although its cost is relatively high.^Strong against archers. ^And beware of spears$; as they are treated as cavalry.^It will become more powerful when the Dragonic civilization enters into the age of the empire. ^...They are professional soldiers from the gens Drana. ^Other than combat$; they can only play in the sun.,,,,
dra_naskarl,Drago Naskarl,0,1,27,3,0,10,12,FAC_dra,6,2,18,1100,70,0,76,80,45,28,5,0,17,30,WEP_Draconic_Spatha,-1,SHD_Round_Shield,-1,AMR_Dragon_Underclothes,,HEL_Dra_Crest,,,,,,,,0,1237,,1208,0,1|2|3|6,1|2|3|5,1,0,1|2|3|10|14|15,15,13,410,,0,,,1,,,,,,,,,,,,,0,0,,,,,,,,105,125,,,140,35,chari16,,The strongest dragonic melee unit. ^They are also treated as cavalry$; so be careful with spears. ^...A guard unit that protects the leader of the Dragons: Orthunass. ^Only the most elite of the volunteer dragons of the gens Nasun are recruited and trained as Naskarl.,,,,
dra_crossbow,Dragonu,13,1,28,3,0,11,12,FAC_dra,1,1,6,200,20,0,0,0,0,4,0,0,18,24,WEP_Light_Crossbow,-1,0,,AMR_Dragon_Underclothes,0,HEL_Kettle_Hat,,,,,,,,,1237,,,,,,,,1|2|10|14|15,0,0,410,0,5,0,,1,,,,,,,,,,,,,0,0,,,,,,,,175,,30,,40,43,,228,An Archer who handle crossbow with high one-shot power. ^Be careful of using gold. ^They're also highly mobile as they fly in the sky. ^...Some members of the gens Draco who stayed on the island used their natural dexterity ^to create and equip weapons circulating on the continent$; relying on hearsay. ^It is said that thier crossbow sometimes explodes and hurts those Dragons. ^How poor.,,,,
dra_flamethrower,Fire Dragon,0,1,29,3,0,13,14,FAC_dra,1,3,9,700,50,0,32,10,0,0,0,0,-50,0,,,,,,,,,,,,,,,1206,1206,1237,,,,,,,1|2|10,,,410,,,,65,,150000,40000,3,20,1206,,,,,,,,0,0,,,,,,,,115,125,,,55,40,Fire5,,A dragon that breathes scorching breath that has AoE effect. ^Because they don't want to get scorched themselves$; they try to keep his distance from enemies. ^In such a case$; they should try flying$; but they somehow just walk. ^Because they hate flying due to overweight. How dragonic.,,,,
dra_artisan,Artigyao,0,9,30,3,0,10,11,FAC_dra,1,9,1,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,10,,,277,,,,,1,,,,,,,,,,,,,0,0,,,,,,,,235,35,15,,,26,cursor21,,A dragonic worker unit who specializes in construction. ^Since they fly in the sky$; they're not affected by the terrain.,,,,
dra_maid,Maidragon,0,1,31,3,0,10,11,FAC_dra,1,4,1,0,0,0,0,0,0,0,0,0,15,5,,,,,,,,,,,,,,,1232,,,,1240,,,,,2|3|10,0,0,410,,,,,1,134000,100000,,,1899,,,,,,,,0,0,,,,,,,,185,,,,70,27,,,A cute dragon maid that heals units around them.^...Even after the threat of the dragons became apparent with the southward advance of the Orthunass' Army$; ^those of the gens Draco continued to be heavily employed as housekeepers in the empire.^ The imperials have become so corrupt that the time of their downfall is near.,,,,
mangonel,Mangonel,25,1,32,-1,0,33,20,0,0,5,11,950,100,250,0,80,32,50,-8,0,47,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,17,0,1,4|15|20,0,0,0,,,15,0,265000,125000,4,,1220,4,41,30,40,,,,0,0,,,,,,,,85,,160,,135,30,mangonelselect,232,A siege weapon that shoots a long-range$; high-intensity$; ranged attack. So-called mangonel. ^They are devastatingly powerful against densely-packed enemy units.^However$; they are difficult to handle because they can damage allies as well.^If you want to use it effectively$; you may need to consider the composition of your army.,,,,
dra_lancer,Dragon Lancer,15,1,33,3,0,10,12,FAC_dra,7,2,6,400,63,5,0,0,0,25,2,0,73,30,WEP_Dragon_Lance,-1,SHD_drana_metal_shield_prop,-1,AMR_Dragon_Knight_Armor,-1,HEL_Drana_Helm,-1,,,,,,,,,1246,,,2|3|6,6,0,0,1|2|10|14|15,15,3,312,,,,,1,,,,,,,,,,,,,0,0,,,,,,,,175,70,,,65,34,Sword1,,A dragon knight that specializes in shock power.^ They are strong against cavalry.^Although their defensive parameter is slightly worse$; their assault power is incredible.^If you deploy a large number of them to rush into a battle$;^you will gain an obvious advantage.,,,,
stone_golem,Stone Golem,23,1,34,-1,0,12,13,0,8,5,9,1800,200,73,0,304,10,65,-10,0,50,50,,,,,,,,,,,,,,,,,,,,3|5,,17,,1|2|10|12,9|13|15|17|20,5|8,204,,,,80,,20000,,,,1250,,,,,,,,0,0,,,,,,,,150,,,125,10,28,earth4,234,An autonomous stone statues imbued with magical power.^If only you don't mind spending stones$; it can be said that its cost is very cheap. ^They have a good amount of AR$; besides their strong against ranged attack due to its attribution. ^However$; they are incredibly weak against magic.^...The sculptors of the gens Draco painstakingly carve each piece of stone by hand to create its shape.,,,,
ram,Battering Ram,23,1,35,-1,0,48,32,0,0,5,8,2300,100,41,0,180,400,50,-45,0,53,20,0,0,SHD_Armor_Plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3|5|7,0,17,0,1|2|9|10|11|12,15|4,5|9,204,,,,70,0,45000,,2,0,,,,50,0,,,1,0,0,,,,,,,,110,,160,,35,28,earth4,235,A siege weapon used to smash down castle gates. ^...It is tremendously effective against buildings$; but is of little use for anything else.,,,,
dra_wiz,J'drago,0,1,36,3,0,11,11,FAC_dra,1,3,5,0,25,0,20,0,30,0,0,0,4,15,0,0,0,0,AMR_Dragon_Scale_Shirt,0,HEL_Pointed_Hat,0,0,0,0,0,0,0,1207,1207,1207,,0,,,,,1|2|10|14|15,,,410,,,,52,,135000,0,2,14,1207,,,,,,,,0,0,,,,,,,,145,45,,,50,58,magic1,,A draconic wizard who fires a barrage of magic missile; be careful not to run out of MP.^...A dragon of the gens Draco who studied magic in the empire. ^They studied diligently$; but because they lacked talent$; they couldn't master any magic than magic missile. ^Still$; J'Drago will *make it big. ^There is no doubt about it.,,,,
dra_mage,Dragon Mage,15,1,37,3,0,10,12,FAC_dra,7,3,6,500,63,15,20,0,25,24,4,0,63,30,WEP_Dragon_Rod,-1,SHD_drana_metal_shield_prop,-1,AMR_Dragon_Knight_Armor,-1,HEL_Drana_Helm,-1,,,,,,,,1206,,,,2|3|6,9,0,0,1|2|10|14|15,15,1,312,,,,,1,,,,,,,,,,,,,0,0,,,,,,,,170,65,,,70,59,,,A dragon knight who deals magic damage. ^They are strong against infantry. ^...A dragon of the gens Drana who studied magic in the Empire. ^She was too stupid to master magic$; ^but she knew how to beat people down with a staff very well instead.,,,,
dra_elite,Global Elite Dra,0,1,38,3,0,10,12,FAC_dra,1,3,19,750,100,0,95,-30,200,0,0,0,-17,25,0,0,0,0,AMR_Dragon_Scale_Shirt,0,HEL_Pointed_Hat,0,0,0,0,0,0,0,1229,1229,1232,,,12,,,,2|10,15|23,0,410,0,,,52,,140000,0,2,14,1267,,,,,,,,0,0,,,,,,,,30,500,,,1000,39,se_maoudamashii_instruments_guitar05,238,"An elite wizard dragon who can cast many kinds of powerful magic.^She is insanely powerful$; but also insanely expensive.^Well that's because she has an exellent global elite career and degrees from an imperial elite academy. ^Only when you select the Orthunass's army$; her cost is 10% off$; thanks to$; well$; Orthunass' connections.^...A dragon of the gens Nasun who studied magic in the empire.^She often complains like this: ^""There are public baths and good wine in the Empire$; but ^this island is so awfully backward.^But those ignorant ""civis"" are still happy to have statues like this.^ It's a terribly rackward$; it's really embarrassing.""^ almost every day.",,,,
dra_inf,Dra at Arms,11,1,39,3,0,10,10,FAC_dra,1,0,5,120,5,4,0,10,0,15,1,0,5,14,WEP_Handaxe,,,,AMR_Dragon_Underclothes,,HEL_Iron_Helm,,,,,,,,,1237,,,,,,,,1|2|10|14|15,,,410,,,,,,,,,,,,,,,,,,0,0,,,,,,,,220,35,,,15,45,vo\dragon_gyaon,,A dragon of the gens Nasun who has the awareness of being a soldier. ^All they have done is just changing their leather cap to an iron helmet.^So they haven't become that hard-hit.^Never expect something wise from those lizard brain.  ,,,,
dra_heavy_sword,Mushagon,11,1,40,3,0,10,10,FAC_dra,1,0,7,240,15,5,0,30,0,20,2,0,8,21,WEP_Katana,,,,AMR_Haramaki,,HEL_Southern_Lamellar_Helm,,,,,,,,,1237,,,,,1|5,,,1|2|10,,,410,,,,,,,,,,,,,,,,,,0,0,,,,,,,,220,45,,,20,46,vo\dragon_gyaon,,"A dragon who has awakened to the way of Bushido. Its attack speed is quite fast. ^...They love the phrase ""Bushido means to die."" ^But they don't actually fight in the honourable code. ^Even if you ask them to commit seppuku$; they will just respond$; ""What? How come must I do that?""^How shamefurr.",,,,
gaia_snail,Dire Snail,0,1,41,-1,0,10,10,0,0,7,5,300,100,38,0,100,20,55,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2|10|11,0,0,0,0,,10,150,0,20000,,1,10,,,,30,30,,,,0,0,,,,,,,,,,,,,0,,,,,,,
nord_spearman,Nord Spearman,12,3,501,0,443,10,11,FAC_nord,0,0,6,220,35,4,0,0,0,20,4,0,8,30,WEP_Short_Spear,-1,SHD_Round_Shield,-1,AMR_Chain_Mail,-1,HEL_Nord_Helm|HEL_Conical_Helm,-1,0,-1,0,0,0,0,0,0,0,0,0,1|2,6,0,0,16|17|1|2|6,0,0,0,0,,,,64,,,,,,,,,,,,,0,0,,,,,,,,,,,,,2,,,,,,,
nord_inf,Nord Infantry,12,3,501,0,443,10,11,FAC_nord,0,0,6,220,35,8,0,0,0,20,3,0,8,30,WEP_Short_Sword,-1,SHD_Round_Shield,-1,AMR_Chain_Mail,-1,HEL_Nord_Helm|HEL_Conical_Helm,-1,0,-1,0,0,0,0,0,0,0,0,0,1|2,5,0,0,16|17|1|2|6,0,0,0,0,,,,64,,,,,,,,,,,,,0,0,,,,,,,,250,35,,,20,2,,,A Northern shield infantry. ^Overally stronger than regular human infantry of the same tier.,,,,
poteton_huscarl,Poteton Huscarl,11,3,0,0,444,10,11,FAC_poteton,0,0,7,280,33,0,0,0,0,20,0,0,16,35,WEP_Battle_Axe|WEP_Handaxe|WEP_Spatha|WEP_Fighting_Spear,-1,SHD_Heavy_Round_Shield,1,AMR_Plated_Mail|AMR_Cloaked_Hauberk,-1,HEL_Plumed_Spangenhelm|HEL_Imp_Spangenhelm,-1,0,-1,0,0,0,0,0,0,0,0,0,1|2|7|14,5,0,0,16|17|1|2|6,6|15,0,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,255,45,,,25,68,,,"A Poteton human warrior who is very strong against ranged weapon. ^They can be trained unbelievably fast$; but they are not very offensive choice.^...In the chaos of the Niosia Peninsula after the Orthunass' Army's invasion$; ^many of the free Potetons$; both men and women$; picked up swords and began to fight. ^ Certain amount of them were mere marauders$; and as they scattered throughout the continent as mercenaries or ""adventurers""$; ^the chaos of the Rtpian continental world was deepened further. ^ It is said that the name Huscarl originated with the Orthunass' bodyguard or with the Warriors of the Nords.",,,,
